OBJECTID,RID,GENERIC CASE ID,GENERIC OFFENDER ID,CHARGE NUMBER,SENTENCE YEAR,GENDER,AGE GROUP,RACE,SENTENCE TYPE,HOMICIDE TYPE,OFFENSE SEVERITY GROUP,SENTENCE IMPOSED MONTHS,SENTENCE SUSPENDED MONTHS,SENTENCE TO SERVE MONTHS,SENTENCE PROBATION MONTHS,VVCA AMT,FINE AMT,RESTITUTION AMT,FINE SUSPENDED AMT,GIS ID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,SEVERITY_OF_OFFENSE,PRESENCE_OF_WITNESS,SEVERITY_OF_OFFENSE_ID,OFFENSE TYPE
21688,22096,6527757,6546444,6.283,2010.0,M,31-40,Black,Incarceration,,D2,576.0,,48.0,0.0,100.0,0.0,0.0,0.0,Felony_Sentences_21688,{43C61096-6B0C-494A-AEB6-BB2EA71FC700},,,,,felonies,No,22986,Drug
14945,14510,143392,4910372,3.1415,2013.0,M,31-40,Black,Incarceration,,D3,180.0,0.0,15.0,0.0,100.0,0.0,0.0,0.0,Felony_Sentences_14945,{69B30369-A603-41BB-A15B-FD5E65E4E7F8},,,,,misdemeanours,Yes,23891,Drug
16760,17388,5892669,228984,3.1415,2012.0,M,51-60,Black,,,,216.0,6.0,12.0,12.0,100.0,0.0,0.0,0.0,Felony_Sentences_16760,{34DB4172-AC18-4B85-9CFF-1737063CC06F},,,,,misdemeanours,No,54612,Weapon
9020,10132,2388867,2304561,9.4245,2015.0,M,22-30,Black,Incarceration,,M8,144.0,0.0,12.0,0.0,100.0,0.0,0.0,0.0,Felony_Sentences_9020,{87864BD7-0B55-411B-9CF6-706178F9E42E},,,,,felonies,No,22986,Violent
23123,23493,9812651,3025825,9.4245,2010.0,M,31-40,White,Incarceration,,D2,36.0,0.0,3.0,0.0,100.0,0.0,0.0,0.0,Felony_Sentences_23123,{C036E5C9-FE1C-4F6C-8765-B27BC0C14F78},,,,,felonies,No,23891,Drug
14269,15485,1731060,8405965,50.264,2012.0,M,51-60,,Incarceration,,,612.0,0.0,51.0,,100.0,0.0,0.0,0.0,Felony_Sentences_14269,{D700909E-925B-4560-99D7-75194C645741},,,,,felonies,No,22986,Violent
19126,19005,3312922,4025651,3.1415,2011.0,M,22-30,Black,Incarceration,,M8,168.0,0.0,14.0,0.0,100.0,0.0,0.0,0.0,Felony_Sentences_19126,{FFDE1C65-7A09-4272-9653-CE20D41923D2},,,,,infractions,No,23891,Weapon
9742,10239,3096398,6658585,21.9905,2015.0,M,18-21,Black,,,M3,1368.0,0.0,114.0,0.0,100.0,0.0,0.0,0.0,Felony_Sentences_9742,{8CF132D6-DDE1-477B-A155-B36E9B151EBE},,,,,felonies,Yes,23891,Property
23339,23543,8023399,9145269,,2010.0,M,31-40,Black,Incarceration,,,720.0,0.0,60.0,0.0,100.0,0.0,0.0,0.0,Felony_Sentences_23339,{333E1950-4079-4576-BB2F-D10EFE1B01A5},,,,,felonies,No,22986,Violent
22196,21056,3659656,4468571,3.1415,2011.0,M,51-60,Black,Incarceration,,M7,168.0,0.0,14.0,0.0,100.0,0.0,0.0,0.0,Felony_Sentences_22196,{7E02176C-A56F-463D-941E-413B6BD0A1B2},,,,,misdemeanours,Yes,22986,Property
